gene	population	confidence_level	prevalence_estimated_perMillon	lowerBound_CI	upperBound_CI
ANO5	All	0.95	186.6048	170.8136	202.9066
ANO5	EUR	0.95	160.4373	141.5765	180.1568
ANO5	FIN	0.95	80.62167	58.72075	104.9912
ANO5	NFE	0.95	181.507	158.1682	206.0131
CAPN3	All	0.95	547.69	514.9178	581.2041
CAPN3	EUR	0.95	328.0211	299.5119	357.478
CAPN3	FIN	0.95	22.45081	14.67735	31.38434
CAPN3	NFE	0.95	436.2204	397.0759	476.7098
DYSF	All	0.95	1445.712	1372.959	1519.846
DYSF	EUR	0.95	740.8029	682.3568	801.0069
DYSF	FIN	0.95	99.35852	73.07508	128.517
DYSF	NFE	0.95	951.7027	873.0025	1032.888
FKRP	All	0.95	107.1458	94.87736	119.9576
FKRP	EUR	0.95	73.24417	60.61947	86.73138
FKRP	FIN	0.95	38.20623	19.79177	60.76179
FKRP	NFE	0.95	80.38984	65.72713	96.11726
SGCA	All	0.95	323.4296	302.6275	344.7388
SGCA	EUR	0.95	215.6028	196.0027	235.8855
SGCA	FIN	0.95	205.026	164.4309	248.8434
SGCA	NFE	0.95	218.3354	196.2061	241.3274
SGCB	All	0.95	30.43725	25.3177	35.89749
SGCB	EUR	0.95	20.32724	16.07071	24.94293
SGCB	FIN	0.95	4.145761	2.079111	6.698294
SGCB	NFE	0.95	25.33237	19.69178	31.48214
SGCD	All	0.95	10.69313	8.750255	12.7765
SGCD	EUR	0.95	6.098135	4.383222	8.014099
SGCD	FIN	0.95	3.620778	0.5949679	8.289852
SGCD	NFE	0.95	6.755699	4.885718	8.840999
SGCG	All	0.95	27.14301	23.64383	30.8177
SGCG	EUR	0.95	11.57663	9.126872	14.23548
SGCG	FIN	0.95	2.291145	0.9887668	3.960149
SGCG	NFE	0.95	14.51007	11.26311	18.05175
TCAP	All	0.95	49.26799	44.39192	54.32951
TCAP	EUR	0.95	24.06595	20.21983	28.15438
TCAP	FIN	0.95	7.219725	3.919939	11.21223
TCAP	NFE	0.95	28.52012	23.69323	33.67037
