gene	population	confidence_level	prevalence_estimated_perMillon	lowerBound_CI	upperBound_CI
ANO5	All	0.95	17.51083	15.10031	20.05093
ANO5	EUR	0.95	28.2249	23.78966	32.93456
ANO5	FIN	0.95	35.36405	24.79114	47.26645
ANO5	NFE	0.95	27.08399	22.20823	32.30882
CAPN3	All	0.95	6.365921	4.987188	7.865375
CAPN3	EUR	0.95	5.464498	4.095475	6.974398
CAPN3	FIN	0.95	0.5026254	0.1191816	1.059034
CAPN3	NFE	0.95	7.183996	5.31589	9.25254
DYSF	All	0.95	7.260058	5.547999	9.1368
DYSF	EUR	0.95	4.180861	2.651849	5.953434
DYSF	FIN	0.95	0.2408206	0.02584762	0.593213
DYSF	NFE	0.95	5.702113	3.536419	8.228871
FKRP	All	0.95	4.49835	3.192162	5.963373
FKRP	EUR	0.95	8.333221	5.704386	11.31379
FKRP	FIN	0.95	7.716032	1.803977	16.31681
FKRP	NFE	0.95	8.433969	5.641165	11.62221
SGCA	All	0.95	3.361213	2.619306	4.169451
SGCA	EUR	0.95	3.902207	2.944087	4.956724
SGCA	FIN	0.95	5.871252	3.212512	9.08156
SGCA	NFE	0.95	3.56438	2.56195	4.684341
SGCB	All	0.95	0.7967026	0.4203052	1.255569
SGCB	EUR	0.95	0.6108583	0.2983771	0.9993865
SGCB	FIN	0.95	0.07442708	0.001731776	0.2161361
SGCB	NFE	0.95	0.7971848	0.3738154	1.32896
SGCD	All	0.95	0.06594093	0.01282895	0.1457055
SGCD	EUR	0.95	0.05839094	0.004285064	0.1513119
SGCD	FIN	0.95	0.5557323	0.001675174	2.028764
SGCD	NFE	0.95	0.01943775	0.003926203	0.04258718
SGCG	All	0.95	0.1169197	0.05125381	0.2007583
SGCG	EUR	0.95	0.1260157	0.04320451	0.2377734
SGCG	FIN	0.95	0.0136537	3.188511e-05	0.05213543
SGCG	NFE	0.95	0.1693576	0.05448694	0.3264676
TCAP	All	0.95	0.03967619	0.02062084	0.06299696
TCAP	EUR	0.95	0.01526392	0.00396102	0.03139415
TCAP	FIN	0.95	0.0001203104	1.183052e-07	0.0006039036
TCAP	NFE	0.95	0.02192478	0.005694016	0.04508406
