gene	population	confidence_level	prevalence_estimated_perMillon	lowerBound_CI	upperBound_CI
ANO5	All	0.95	32.52277	28.83173	36.37575
ANO5	EUR	0.95	43.09301	37.12417	49.38482
ANO5	FIN	0.95	43.2068	30.84735	57.04369
ANO5	NFE	0.95	43.3527	36.60489	50.51381
CAPN3	All	0.95	75.38174	68.06573	82.9704
CAPN3	EUR	0.95	60.69251	53.14188	68.60792
CAPN3	FIN	0.95	6.242734	3.376588	9.71406
CAPN3	NFE	0.95	78.86461	68.72769	89.50838
DYSF	All	0.95	129.3549	118.4521	140.6087
DYSF	EUR	0.95	99.43006	87.55505	111.8547
DYSF	FIN	0.95	10.60354	6.328783	15.64481
DYSF	NFE	0.95	129.1944	113.0999	146.0675
FKRP	All	0.95	9.787148	7.689474	12.0664
FKRP	EUR	0.95	9.415845	6.579894	12.61145
FKRP	FIN	0.95	9.154731	2.49972	18.56031
FKRP	NFE	0.95	9.421454	6.427101	12.81993
SGCA	All	0.95	47.10511	42.22737	52.17732
SGCA	EUR	0.95	48.94852	42.76127	55.43974
SGCA	FIN	0.95	50.59151	36.60128	66.19089
SGCA	NFE	0.95	48.70448	41.87084	55.91295
SGCB	All	0.95	1.111344	0.648935	1.659974
SGCB	EUR	0.95	0.7200493	0.3713547	1.147648
SGCB	FIN	0.95	0.07507552	0.001776841	0.2176861
SGCB	NFE	0.95	0.9470228	0.472158	1.534406
SGCD	All	0.95	0.3431864	0.1844011	0.535834
SGCD	EUR	0.95	0.4094886	0.1942044	0.6791419
SGCD	FIN	0.95	0.7219902	0.004095631	2.413992
SGCD	NFE	0.95	0.3634489	0.2099672	0.5460822
SGCG	All	0.95	1.342753	1.001839	1.719276
SGCG	EUR	0.95	0.7589424	0.4649775	1.1031
SGCG	FIN	0.95	0.3223145	0.05595555	0.7298053
SGCG	NFE	0.95	0.8940511	0.5236408	1.333162
TCAP	All	0.95	1.675892	1.33603	2.043444
TCAP	EUR	0.95	0.6299895	0.4168777	0.8740425
TCAP	FIN	0.95	0.02065127	0.0001118061	0.06944063
TCAP	NFE	0.95	0.8554673	0.56276	1.191248
