gene	population	confidence_level	prevalence_estimated_perMillon	lowerBound_CI	upperBound_CI
ANO5	All	0.95	21.23095	18.4827	24.11763
ANO5	EUR	0.95	32.54617	27.6495	37.7321
ANO5	FIN	0.95	35.3873	24.80887	47.29571
ANO5	NFE	0.95	32.21509	26.72505	38.07565
CAPN3	All	0.95	28.3547	24.57262	32.33343
CAPN3	EUR	0.95	25.54521	21.5042	29.83804
CAPN3	FIN	0.95	2.150341	0.9128447	3.742375
CAPN3	NFE	0.95	33.61718	28.12876	39.45937
DYSF	All	0.95	7.53161	5.77996	9.449182
DYSF	EUR	0.95	4.350828	2.783534	6.163303
DYSF	FIN	0.95	0.2414412	0.02598654	0.5944948
DYSF	NFE	0.95	5.940742	3.719422	8.525466
FKRP	All	0.95	5.446182	3.976485	7.080304
FKRP	EUR	0.95	8.862831	6.131606	11.94971
FKRP	FIN	0.95	9.150223	2.497486	18.55332
FKRP	NFE	0.95	8.771551	5.90856	12.03312
SGCA	All	0.95	23.98901	20.96419	27.16205
SGCA	EUR	0.95	33.46107	28.85882	38.31049
SGCA	FIN	0.95	50.44683	36.48921	66.01081
SGCA	NFE	0.95	30.47884	25.72047	35.5296
SGCB	All	0.95	0.7967026	0.4203052	1.255569
SGCB	EUR	0.95	0.6108583	0.2983771	0.9993865
SGCB	FIN	0.95	0.07442708	0.001731776	0.2161361
SGCB	NFE	0.95	0.7971848	0.3738154	1.32896
SGCD	All	0.95	0.08722275	0.02265684	0.1793469
SGCD	EUR	0.95	0.05844077	0.00429743	0.1514042
SGCD	FIN	0.95	0.5565131	0.001682306	2.030677
SGCD	NFE	0.95	0.01947447	0.003938028	0.04265665
SGCG	All	0.95	0.162001	0.08031998	0.2631789
SGCG	EUR	0.95	0.1787513	0.07288808	0.3162271
SGCG	FIN	0.95	0.01381627	3.259755e-05	0.0526531
SGCG	NFE	0.95	0.2429994	0.09495119	0.4371394
TCAP	All	0.95	0.2855461	0.1972435	0.3853935
TCAP	EUR	0.95	0.06734625	0.02966733	0.1153964
TCAP	FIN	0.95	0.0003147315	3.110916e-07	0.001574429
TCAP	NFE	0.95	0.09605053	0.04234099	0.1645326
