gene	population	confidence_level	prevalence_estimated_perMillon	lowerBound_CI	upperBound_CI
ANO5	All	0.95	133.3821	120.7371	146.487
ANO5	EUR	0.95	120.5222	104.9986	136.8238
ANO5	FIN	0.95	72.6881	52.37709	95.36305
ANO5	NFE	0.95	132.9625	114.0396	152.9392
CAPN3	All	0.95	129.898	117.3712	142.8885
CAPN3	EUR	0.95	77.35901	66.69435	88.59785
CAPN3	FIN	0.95	6.208291	3.307148	9.73612
CAPN3	NFE	0.95	102.4748	87.77308	118.0023
DYSF	All	0.95	1253.644	1187.578	1321.023
DYSF	EUR	0.95	636.156	583.3355	690.6511
DYSF	FIN	0.95	83.37875	60.18428	109.2591
DYSF	NFE	0.95	818.3393	747.1251	891.9236
FKRP	All	0.95	65.38135	56.37212	74.87538
FKRP	EUR	0.95	52.94855	42.65733	64.04034
FKRP	FIN	0.95	27.01118	12.34425	45.55012
FKRP	NFE	0.95	58.30727	46.33692	71.26606
SGCA	All	0.95	43.15744	38.01672	48.53543
SGCA	EUR	0.95	26.58618	22.09533	31.37725
SGCA	FIN	0.95	24.36753	16.35032	33.51137
SGCA	NFE	0.95	27.22269	22.03072	32.81035
SGCB	All	0.95	27.88597	23.24346	32.83403
SGCB	EUR	0.95	20.32573	16.0697	24.94085
SGCB	FIN	0.95	4.141165	2.080059	6.685836
SGCB	NFE	0.95	25.33035	19.69044	31.47936
SGCD	All	0.95	10.08812	8.218102	12.09632
SGCD	EUR	0.95	5.807599	4.147981	7.665378
SGCD	FIN	0.95	3.616724	0.5934224	8.282998
SGCD	NFE	0.95	6.380809	4.584062	8.388515
SGCG	All	0.95	19.60961	16.78968	22.5883
SGCG	EUR	0.95	8.18753	6.248464	10.314
SGCG	FIN	0.95	1.275731	0.4590905	2.366379
SGCG	NFE	0.95	10.46902	7.859028	13.34612
TCAP	All	0.95	4.714883	3.750682	5.758363
TCAP	EUR	0.95	2.53423	1.730177	3.446582
TCAP	FIN	0.95	0.8115432	0.2319212	1.623494
TCAP	NFE	0.95	3.014399	1.987311	4.191881
