gene	population	confidence_level	prevalence_estimated_perMillon	lowerBound_CI	upperBound_CI
ANO5	All	0.95	287.3451	269.7347	305.3642
ANO5	EUR	0.95	171.0818	154.7039	188.0615
ANO5	FIN	0.95	87.32193	66.1614	110.5805
ANO5	NFE	0.95	192.263	172.3546	212.9651
CAPN3	All	0.95	3947.185	3826.267	4069.488
CAPN3	EUR	0.95	1977.525	1882.305	2074.471
CAPN3	FIN	0.95	2939.982	2640.606	3251.086
CAPN3	NFE	0.95	1806.218	1707.999	1906.453
DYSF	All	0.95	22783.06	22303.43	23266.45
DYSF	EUR	0.95	20149.66	19545.99	20760.09
DYSF	FIN	0.95	18677.86	17343.06	20048.91
DYSF	NFE	0.95	20466.53	19792.04	21149.34
FKRP	All	0.95	573.3424	534.8692	612.7951
FKRP	EUR	0.95	692.2672	626.8542	760.0512
FKRP	FIN	0.95	2858.945	2391.906	3356.106
FKRP	NFE	0.95	438.5167	388.4037	490.8444
SGCA	All	0.95	581.2651	551.6076	611.4933
SGCA	EUR	0.95	418.3878	387.9849	449.6307
SGCA	FIN	0.95	1154.056	1004.863	1310.753
SGCA	NFE	0.95	313.2466	286.0207	341.3774
SGCB	All	0.95	22.13506	19.09164	25.34188
SGCB	EUR	0.95	6.842302	5.272471	8.558607
SGCB	FIN	0.95	3.707284	1.853025	5.999433
SGCB	NFE	0.95	7.640546	5.734954	9.741245
SGCD	All	0.95	2583.256	2496.636	2670.963
SGCD	EUR	0.95	4053.631	3894.243	4215.372
SGCD	FIN	0.95	2225.896	1974.171	2488.623
SGCD	NFE	0.95	4501.656	4313.77	4692.488
SGCG	All	0.95	57482.84	56652.99	58317.14
SGCG	EUR	0.95	81573.67	80137.39	83019.36
SGCG	FIN	0.95	108560.1	104285.9	112897.6
SGCG	NFE	0.95	76577.4	75072.61	78093.2
TCAP	All	0.95	108.0223	100.126	116.1381
TCAP	EUR	0.95	106.1775	95.74358	117.0052
TCAP	FIN	0.95	6.326773	3.515274	9.707681
TCAP	NFE	0.95	140.7206	126.613	155.372
